Type;Statut;Complément;Date de réalisation;Longueur;Date de pérennisation;geo_shape;geo_point_2d
Piste cyclable temporaire;A venir;;;855.8175001;;"{""type"": ""LineString"", ""coordinates"": [[2.331971049635047, 48.81700885242945], [2.334294000240344, 48.82114899985049], [2.336056291818213, 48.82421734912368]]}";48.8206181214,2.33400482684
Piste cyclable temporaire;Réalisé;;2020-06-26;1592.95565791;;"{""type"": ""LineString"", ""coordinates"": [[2.226394000024097, 48.85317599992867], [2.2262220006374, 48.85506700021634], [2.22656500053108, 48.856762000030486], [2.227637999586288, 48.85924599965211], [2.22927999961338, 48.86223000031701], [2.2304560005379592, 48.86193999989149], [2.2313550000121922, 48.86313099996222], [2.232782000422521, 48.863788000028364], [2.234418000683251, 48.86504499968108]]}";48.8599838825,2.22909994943
Piste cyclable temporaire;A venir;;;1604.99018388;;"{""type"": ""LineString"", ""coordinates"": [[2.359065112699232, 48.89868388472038], [2.359318096815513, 48.89554047177817], [2.359581623540707, 48.89354885702511], [2.3598287652673893, 48.89200471516192], [2.359904068286916, 48.89027693050448], [2.35989873689958, 48.88906407071991], [2.359824171467876, 48.887723496823156], [2.359718386660891, 48.88721425390172], [2.359599165482245, 48.886681421401484], [2.359376176000734, 48.88550476384224], [2.359319368286652, 48.8847876942464], [2.359300218821134, 48.88429333022778]]}";48.8914813724,2.35955955328
Piste cyclable temporaire;Réalisé nord;ligne 4 et  RER B;2020-06-30;613.71276833;;"{""type"": ""LineString"", ""coordinates"": [[2.332902209880447, 48.83483836110317], [2.336772999466858, 48.838833999777684], [2.336966937421652, 48.83959990799385]]}";48.8371322528,2.33509034892
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-23;278.09048434;;"{""type"": ""LineString"", ""coordinates"": [[2.326681999962382, 48.875422000061], [2.326858999912732, 48.87611299999893], [2.326942356365491, 48.877912246982284]]}";48.876659407,2.3268637492
Piste cyclable pérenne;Réalisé;;2020-06-30;203.51055795;2020-06-30;"{""type"": ""LineString"", ""coordinates"": [[2.292212987308334, 48.827687473091125], [2.292158026801942, 48.82762299680019], [2.292122314081203, 48.82750283954521], [2.292186387733582, 48.82730161634006], [2.292388995086745, 48.827203844779035], [2.292654585839995, 48.827206556383565], [2.292833344564202, 48.8273059050661], [2.292903918001193, 48.827420859369646], [2.292907994456354, 48.827601076134236], [2.29274696076732, 48.82778527482514], [2.292538256210952, 48.827831237164425], [2.292303339265558, 48.82779346642533], [2.292220879433422, 48.827696731252566]]}";48.8275083255,2.29252110699
Piste cyclable temporaire;A venir;;;291.21897672;;"{""type"": ""LineString"", ""coordinates"": [[2.415354364129628, 48.85428011439936], [2.414652639917015, 48.854179433654444], [2.414670029424347, 48.85408703790693], [2.4146642474700992, 48.854020253743045], [2.414647100903837, 48.85394896220866], [2.414615513635435, 48.85387973057555], [2.414571120987198, 48.85381366403777], [2.414514744032214, 48.85375192226115], [2.414436185600777, 48.85368896031106], [2.41436726564591, 48.853645377864694], [2.414279438907062, 48.853602173186786], [2.414183991655145, 48.853566815718075], [2.414082697744005, 48.85353971703523], [2.413977058064547, 48.85352144386958], [2.413868025264555, 48.85351235342135], [2.41375900660038, 48.85351242730083], [2.413650002024724, 48.85352166460878], [2.413544418419595, 48.853540080244514], [2.413443072022633, 48.85356731578084], [2.413347735438155, 48.853602802537395], [2.413196190975127, 48.85368644617433], [2.412394999435155, 48.85322899996106]]}";48.8537294868,2.41391575003
Piste cyclable temporaire;Réalisé;;2020-08-05;281.96355121;;"{""type"": ""LineString"", ""coordinates"": [[2.269580886867704, 48.838621464870016], [2.269461233455894, 48.83847795765765], [2.269305117330962, 48.83836397347258], [2.2690955600337492, 48.83820504457719], [2.268917126415535, 48.838076050522915], [2.268634480942033, 48.837666816960294], [2.2683737827944, 48.83729935876303], [2.267845804881522, 48.83671312520635], [2.267533737506527, 48.83650138487679]]}";48.8375579105,2.26856140021
Piste cyclable temporaire;Réalisé;;2020-09-03;1437.01811477;;"{""type"": ""LineString"", ""coordinates"": [[2.335277974250329, 48.86272418717434], [2.335576698215978, 48.863267621972334], [2.33534760741064, 48.86361016224041], [2.335177217501957, 48.863961498128845], [2.335003415677636, 48.864361133908474], [2.334824415874539, 48.864807450658226], [2.334119899431461, 48.86642838149709], [2.333675322766867, 48.86751611692344], [2.332495707923967, 48.870198448512554], [2.331874558568215, 48.871089795522636], [2.330414924200541, 48.87187545974997], [2.327053127970173, 48.873736327241005]]}";48.8689637801,2.33224245473
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-01;268.58139678;;"{""type"": ""LineString"", ""coordinates"": [[2.310677000437777, 48.84500300030973], [2.31237700024029, 48.84286400034054]]}";48.8439335003,2.31152700034
Piste cyclable temporaire;A venir;;;309.16083628;;"{""type"": ""LineString"", ""coordinates"": [[2.256918429457038, 48.83741884886455], [2.256615749533745, 48.83702445690291], [2.256435433071324, 48.8365051691826], [2.256090574216228, 48.836102149092575], [2.255799560123434, 48.83589788804627], [2.2553444234803672, 48.835303530095224], [2.255187692678544, 48.83492101459493]]}";48.8361689806,2.25605378244
Piste cyclable temporaire;Réalisé;;2020-06-26;208.16679083;;"{""type"": ""LineString"", ""coordinates"": [[2.318136691690054, 48.837483797415786], [2.318282821975432, 48.83749186036984], [2.318489860374426, 48.837465094031735], [2.31863802964605, 48.83741420997868], [2.318698941991463, 48.837364650901485], [2.318755804459934, 48.837289390815066], [2.31877079549614, 48.83723850349967], [2.318725604505996, 48.83709761612059], [2.318634861187484, 48.83699372654292], [2.318492017736165, 48.83690329142475], [2.318320184183743, 48.83689179773251], [2.3181597950818222, 48.83691175435722], [2.318051808269874, 48.836941323415054], [2.317960042982943, 48.837017593836556], [2.317908549055097, 48.83712345737177], [2.317877001447956, 48.83722115772164], [2.317905389654915, 48.837297528628575], [2.317983000141749, 48.837396999900456], [2.318136691690054, 48.837483797415786]]}";48.8371957929,2.31832099157
Piste cyclable temporaire;Réalisé;;2020-05-17;310.61326294;;"{""type"": ""LineString"", ""coordinates"": [[2.335033809322136, 48.86270769203099], [2.333243109462817, 48.860176464053545]]}";48.861442078,2.33413845939
Piste cyclable temporaire;Réalisé;;2020-09-01;144.43600755;;"{""type"": ""LineString"", ""coordinates"": [[2.371070416628423, 48.8454557507445], [2.371466989178622, 48.84519790679504], [2.372005410201195, 48.844729911026924], [2.372303595863175, 48.84444787744916]]}";48.8449750252,2.3717052316
Piste cyclable temporaire;Réalisé nord;ligne 4 et  RER B;2020-05-13;274.63226331;;"{""type"": ""LineString"", ""coordinates"": [[2.346565509688086, 48.856260816462566], [2.346990522871149, 48.857000689459916], [2.347298988542188, 48.85730692327171], [2.347555160767763, 48.85767141521323], [2.348122000613932, 48.858500000140545]]}";48.8573871213,2.34733084774
Piste cyclable temporaire;Réalisé;ligne 1 et RER A;2020-05-11;1729.54310228;;"{""type"": ""LineString"", ""coordinates"": [[2.460358000220799, 48.83888699997733], [2.449120000316303, 48.841835000155925], [2.448235000318798, 48.843112999558805], [2.4461749999036613, 48.843790999562124], [2.439222000149206, 48.844524999680885]]}";48.841996931,2.44981605824
Piste cyclable temporaire;A venir;;;927.77599303;;"{""type"": ""LineString"", ""coordinates"": [[2.2748629682541193, 48.858172471779845], [2.274759659094952, 48.85763150975579], [2.27473646141153, 48.85710981874077], [2.274733079775519, 48.85644705093001], [2.275373826474186, 48.85482618310825], [2.275524495384625, 48.854208011690254], [2.27582761231986, 48.852967812629814], [2.275780377608937, 48.8527485438454], [2.2790546749311122, 48.85091352043257]]}";48.8540009418,2.27607640121
Piste cyclable temporaire;Réalisé;;2020-08-12;304.94586907;;"{""type"": ""LineString"", ""coordinates"": [[2.322847947680724, 48.83770350172389], [2.322581130671863, 48.83764525964958], [2.322364365388093, 48.83762637543221], [2.320917800533342, 48.837513130794996], [2.32021482210477, 48.83748862585627], [2.319571803689003, 48.83737133982844], [2.319444759710709, 48.83736120337113], [2.31877079549614, 48.83723850349967]]}";48.8374949131,2.32080640856
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-05;547.9769275;;"{""type"": ""LineString"", ""coordinates"": [[2.319072999387834, 48.86265300005226], [2.320221000576511, 48.86421899969957], [2.321532000436897, 48.863896999683426], [2.323035000459435, 48.865934000155065]]}";48.8642233731,2.32107818626
Piste cyclable temporaire;A venir;;;207.35380919;;"{""type"": ""LineString"", ""coordinates"": [[2.253644770611996, 48.8367666396497], [2.254289410885534, 48.836769913814116], [2.2552968917493548, 48.836633947792706], [2.255951850491406, 48.836490349626544], [2.256330164202335, 48.83631552773318]]}";48.8366380558,2.25500655671
Piste cyclable temporaire;A venir;;;194.10543121;;"{""type"": ""LineString"", ""coordinates"": [[2.253644770611996, 48.8367666396497], [2.253824892174501, 48.836897183777054], [2.253930487143057, 48.837065964773515], [2.254232906426146, 48.83798119709974], [2.254093339508411, 48.838421381697614]]}";48.8375512871,2.25403829315
Piste cyclable temporaire;Réalisé nord;ligne 4 et  RER B;2020-05-15;502.97821862;;"{""type"": ""LineString"", ""coordinates"": [[2.325583000382641, 48.82330300015468], [2.326316999526066, 48.82637199973068], [2.326775575241573, 48.82775574431634]]}";48.8255410083,2.32613842002
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-13;670.64194619;;"{""type"": ""LineString"", ""coordinates"": [[2.325701118347247, 48.88725649309565], [2.325590158701816, 48.88749744582655], [2.327467993366486, 48.893142449306545]]}";48.8901943211,2.32649136487
Piste cyclable temporaire;A venir;;;1157.43994753;;"{""type"": ""LineString"", ""coordinates"": [[2.31237700024029, 48.84286400034054], [2.317704101234504, 48.84442254713589], [2.320203394313758, 48.84511344750706], [2.326546038433233, 48.846947876297286], [2.326855530436908, 48.846950231416166]]}";48.8449519312,2.31960916939
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-01;591.8981066;;"{""type"": ""LineString"", ""coordinates"": [[2.319306000220598, 48.89110399991627], [2.325377949163927, 48.887596714362836]]}";48.8893503571,2.32234197469
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-01;590.86361995;;"{""type"": ""LineString"", ""coordinates"": [[2.314511617407356, 48.851832936905964], [2.314486692778984, 48.851411639660036], [2.31445351134767, 48.850992211473155], [2.314356062716016, 48.850790629163086], [2.315971343643938, 48.84793424052235], [2.316270000351443, 48.84744599963888], [2.31656999980609, 48.84679000022513]]}";48.8492727263,2.31528985447
Piste cyclable temporaire;Réalisé;;2020-06-26;511.01700755;;"{""type"": ""LineString"", ""coordinates"": [[2.343693501627131, 48.87581246845989], [2.34094108457008, 48.87508266055076], [2.337214149881326, 48.874123490206344]]}";48.874962206,2.34045533405
Piste cyclable temporaire;Réalisé;;2020-09-03;1333.72887779;;"{""type"": ""LineString"", ""coordinates"": [[2.296380845809208, 48.83728681479687], [2.299418134558461, 48.838785872105454], [2.300823018623785, 48.839417433830526], [2.304248121385195, 48.840409362720166], [2.31237700024029, 48.84286400034054]]}";48.8403270083,2.30428021348
Piste cyclable temporaire;Réalisé sud;ligne 4 et  RER B;2020-05-27;2626.62116164;;"{""type"": ""LineString"", ""coordinates"": [[2.342045578480295, 48.844326854966795], [2.341428999331296, 48.84317900006227], [2.341214000522883, 48.84137199994418], [2.339776999521777, 48.838660999730244], [2.335850000267371, 48.832978000336475], [2.334197999897789, 48.8303309995735], [2.333961999611155, 48.82970900033121], [2.332528999327794, 48.827851999727784], [2.3302820003289613, 48.822157000215704]]}";48.8332708471,2.33618017474
Piste cyclable temporaire;A venir;;;2244.78700915;;"{""type"": ""LineString"", ""coordinates"": [[2.396369503704233, 48.886265079387556], [2.394011000620242, 48.88644799975298], [2.389854557398895, 48.88609727751993], [2.386878008924991, 48.88567362362584], [2.3828103104297202, 48.884907545797354], [2.379028655798114, 48.88463089839131], [2.378755059815679, 48.88452692714756], [2.375079499532602, 48.88249979673865], [2.374166208767268, 48.88201183149103], [2.37337855032247, 48.88132944043608], [2.373146802258248, 48.88120541485165], [2.372845460454263, 48.88081504576651], [2.37274122759802, 48.88053684334485], [2.370621559282739, 48.878311441068405]]}";48.8841999214,2.38270320386
Piste cyclable temporaire;A venir;;2020-06-23;241.65343642;;"{""type"": ""LineString"", ""coordinates"": [[2.385539998253844, 48.8975478682085], [2.388835650340946, 48.89758166606095]]}";48.8975647671,2.3871878243
Piste cyclable temporaire;A venir;;;659.16927997;;"{""type"": ""LineString"", ""coordinates"": [[2.3700422533331063, 48.87770980849237], [2.369910830712027, 48.8775789123927], [2.368498029667264, 48.876144344907466], [2.368308855136385, 48.876022365716494], [2.368282825816334, 48.875953452696734], [2.364896035681367, 48.87370790327936], [2.364213863218406, 48.8732426966793]]}";48.8753531108,2.36723212779
Piste cyclable temporaire;Réalisé;;2020-06-18;383.41107587;;"{""type"": ""LineString"", ""coordinates"": [[2.344165000208759, 48.90126099961247], [2.344121999656932, 48.89829900042526], [2.344551000160625, 48.89790399979969]]}";48.8995039229,2.34417524428
Piste cyclable pérenne;Réalisé;ligne 13;2020-05-15;602.05053855;2020-05-15;"{""type"": ""LineString"", ""coordinates"": [[2.315236203999567, 48.857963168711336], [2.315369517274142, 48.858844033191986], [2.314690220631665, 48.85888342537697], [2.315246999423534, 48.862945999858994]]}";48.8602742368,2.31502846055
