Date de livraison,Longueur du tronçon en m,Running total
2019-03-16,19.0,10214.0
2019-03-17,19.0,10214.0
2019-03-18,19.0,10214.0
2019-03-19,19.0,10214.0
2019-03-20,19.0,10214.0
2019-03-21,19.0,10214.0
2019-03-22,104.0,10318.0
2019-03-23,104.0,10318.0
2019-03-24,104.0,10318.0
2019-03-25,104.0,10318.0
2019-03-26,104.0,10318.0
2019-03-27,104.0,10318.0
2019-03-28,104.0,10318.0
2019-03-29,104.0,10318.0
2019-03-30,1.0,10319.0
2019-03-31,6.0,10325.0
2019-04-01,2.0,10327.0
2019-04-02,2.0,10327.0
2019-04-03,2.0,10327.0
2019-04-04,2.0,10327.0
2019-04-05,2.0,10327.0
2019-04-06,2.0,10327.0
2019-04-07,2.0,10327.0
2019-04-08,2.0,10327.0
2019-04-09,2.0,10327.0
2019-04-10,2.0,10327.0
2019-04-11,2.0,10327.0
2019-04-12,2.0,10327.0
2019-04-13,2.0,10327.0
2019-04-14,2.0,10327.0
2019-04-15,5.0,10332.0
2019-04-16,5.0,10332.0
2019-04-17,5.0,10332.0
2019-04-18,5.0,10332.0
2019-04-19,5.0,10332.0
2019-04-20,5.0,10332.0
2019-04-21,5.0,10332.0
2019-04-22,3.0,10335.0
2019-04-23,3.0,10335.0
2019-04-24,3.0,10335.0
2019-04-25,3.0,10335.0
2019-04-26,3.0,10335.0
2019-04-27,3.0,10335.0
2019-04-28,3.0,10335.0
2019-04-29,3.0,10335.0
2019-04-30,17.0,10352.0
2019-05-01,17.0,10352.0
2019-05-02,17.0,10352.0
2019-05-03,17.0,10352.0
2019-05-04,17.0,10352.0
2019-05-05,17.0,10352.0
2019-05-06,17.0,10352.0
2019-05-07,17.0,10352.0
2019-05-08,17.0,10352.0
2019-05-09,17.0,10352.0
2019-05-10,17.0,10352.0
2019-05-11,17.0,10352.0
2019-05-12,1.0,10353.0
2019-05-13,1.0,10353.0
2019-05-14,1.0,10353.0
2019-05-15,1.0,10353.0
2019-05-16,1.0,10353.0
2019-05-17,80.0,10433.0
2019-05-18,80.0,10433.0
2019-05-19,80.0,10433.0
2019-05-20,80.0,10433.0
2019-05-21,80.0,10433.0
2019-05-22,80.0,10433.0
2019-05-23,80.0,10433.0
2019-05-24,80.0,10433.0
2019-05-25,80.0,10433.0
2019-05-26,80.0,10433.0
2019-05-27,80.0,10433.0
2019-05-28,80.0,10433.0
2019-05-29,80.0,10433.0
2019-05-30,14.0,10447.0
2019-05-31,76.0,10523.0
2019-06-01,76.0,10523.0
2019-06-02,76.0,10523.0
2019-06-03,76.0,10523.0
2019-06-04,76.0,10523.0
2019-06-05,76.0,10523.0
2019-06-06,76.0,10523.0
2019-06-07,2.0,10525.0
2019-06-08,2.0,10525.0
2019-06-09,2.0,10525.0
2019-06-10,2.0,10525.0
2019-06-11,2.0,10525.0
2019-06-12,1.0,10526.0
2019-06-13,1.0,10526.0
2019-06-14,1.0,10526.0
2019-06-15,6.0,10532.0
2019-06-16,6.0,10532.0
2019-06-17,6.0,10532.0
2019-06-18,6.0,10532.0
2019-06-19,6.0,10532.0
2019-06-20,6.0,10532.0
2019-06-21,6.0,10532.0
2019-06-22,6.0,10532.0
2019-06-23,6.0,10532.0
2019-06-24,6.0,10532.0
2019-06-25,4.0,10536.0
2019-06-26,4.0,10536.0
2019-06-27,4.0,10536.0
2019-06-28,4.0,10536.0
2019-06-29,4.0,10536.0
2019-06-30,81.0,10617.0
2019-07-01,5.0,10622.0
2019-07-02,7.0,10629.0
2019-07-03,7.0,10629.0
2019-07-04,7.0,10629.0
2019-07-05,7.0,10629.0
2019-07-06,7.0,10629.0
2019-07-07,7.0,10629.0
2019-07-08,7.0,10629.0
2019-07-09,7.0,10629.0
2019-07-10,7.0,10629.0
2019-07-11,7.0,10629.0
2019-07-12,7.0,10629.0
2019-07-13,7.0,10629.0
2019-07-14,7.0,10629.0
2019-07-15,7.0,10629.0
2019-07-16,7.0,10629.0
2019-07-17,7.0,10629.0
2019-07-18,7.0,10629.0
2019-07-19,7.0,10629.0
2019-07-20,3.0,10632.0
2019-07-21,3.0,10632.0
2019-07-22,3.0,10632.0
2019-07-23,3.0,10632.0
2019-07-24,3.0,10632.0
2019-07-25,3.0,10632.0
2019-07-26,3.0,10632.0
2019-07-27,3.0,10632.0
2019-07-28,3.0,10632.0
2019-07-29,3.0,10632.0
2019-07-30,3.0,10635.0
2019-07-31,273.0,10908.0
2019-08-01,273.0,10908.0
2019-08-02,273.0,10908.0
2019-08-03,273.0,10908.0
2019-08-04,273.0,10908.0
2019-08-05,273.0,10908.0
2019-08-06,273.0,10908.0
2019-08-07,273.0,10908.0
2019-08-08,273.0,10908.0
2019-08-09,273.0,10908.0
2019-08-10,273.0,10908.0
2019-08-11,273.0,10908.0
2019-08-12,273.0,10908.0
2019-08-13,273.0,10908.0
2019-08-14,273.0,10908.0
2019-08-15,273.0,10908.0
2019-08-16,273.0,10908.0
2019-08-17,273.0,10908.0
2019-08-18,273.0,10908.0
2019-08-19,273.0,10908.0
2019-08-20,273.0,10908.0
2019-08-21,273.0,10908.0
2019-08-22,273.0,10908.0
2019-08-23,273.0,10908.0
2019-08-24,273.0,10908.0
2019-08-25,273.0,10908.0
2019-08-26,273.0,10908.0
2019-08-27,273.0,10908.0
2019-08-28,273.0,10908.0
2019-08-29,273.0,10908.0
2019-08-30,14.0,10922.0
2019-08-31,58.0,10980.0
2019-09-01,58.0,10980.0
2019-09-02,58.0,10980.0
2019-09-03,58.0,10980.0
2019-09-04,58.0,10980.0
2019-09-05,58.0,10980.0
2019-09-06,58.0,10980.0
2019-09-07,58.0,10980.0
2019-09-08,58.0,10980.0
2019-09-09,58.0,10980.0
2019-09-10,58.0,10980.0
2019-09-11,58.0,10980.0
2019-09-12,58.0,10980.0
2019-09-13,58.0,10980.0
2019-09-14,58.0,10980.0
2019-09-15,39.0,11019.0
2019-09-16,39.0,11019.0
2019-09-17,39.0,11019.0
2019-09-18,8.0,11027.0
2019-09-19,8.0,11027.0
2019-09-20,8.0,11027.0
2019-09-21,8.0,11027.0
2019-09-22,8.0,11027.0
2019-09-23,8.0,11027.0
2019-09-24,8.0,11027.0
2019-09-25,8.0,11027.0
2019-09-26,8.0,11027.0
2019-09-27,8.0,11027.0
2019-09-28,8.0,11027.0
2019-09-29,8.0,11027.0
2019-09-30,122.0,11149.0
2019-10-01,122.0,11149.0
2019-10-02,122.0,11149.0
